name,birth_year,birth_city,death_year,death_city,discipline,known_to,institution,major_work,nationality
Galileo Galilei,1564,Pisa,1642,Arcetri,Astronomy,Johannes Kepler,University of Padua,Sidereus Nuncius,Italian
Johannes Kepler,1571,Weil der Stadt,1630,Regensburg,Astronomy,Galileo Galilei,University of Graz,Harmonices Mundi,German
René Descartes,1596,La Haye en Touraine,1650,Stockholm,Philosophy,Marin Mersenne,None,Discourse on Method,French
Francis Bacon,1561,London,1626,London,Philosophy,René Descartes,Cambridge University,Novum Organum,English
Tycho Brahe,1546,Knutstorp,1601,Prague,Astronomy,Johannes Kepler,Uraniborg Observatory,Astronomiae Instauratae,Danish
Nicolaus Copernicus,1473,Torun,1543,Frombork,Astronomy,Tycho Brahe,University of Krakow,De revolutionibus,Polish
Giordano Bruno,1548,Nola,1600,Rome,Philosophy,Galileo Galilei,None,De l'Infinito Universo,Italian
William Harvey,1578,Folkestone,1657,London,Medicine,Francis Bacon,University of Padua,De Motu Cordis,English
Andreas Vesalius,1514,Brussels,1564,Zakynthos,Medicine,William Harvey,University of Padua,De Humani Corporis Fabrica,Flemish
Isaac Newton,1643,Woolsthorpe,1727,London,Mathematics,Gottfried Leibniz,Cambridge University,Principia Mathematica,English
Gottfried Leibniz,1646,Leipzig,1716,Hanover,Mathematics,Isaac Newton,None,Monadology,German
John Locke,1632,Wrington,1704,Oates,Philosophy,Isaac Newton,Oxford University,Essay Concerning Human Understanding,English
Robert Hooke,1635,Freshwater,1703,London,Natural Philosophy,Isaac Newton,Gresham College,Micrographia,English
Christiaan Huygens,1629,The Hague,1695,The Hague,Physics,Isaac Newton,French Academy of Sciences,Horologium Oscillatorium,Dutch
Antoine Lavoisier,1743,Paris,1794,Paris,Chemistry,Joseph Priestley,French Academy of Sciences,Traité Élémentaire de Chimie,French
Joseph Priestley,1733,Birstall,1804,Northumberland,Chemistry,Antoine Lavoisier,Warrington Academy,Experiments on Air,English
Carl Linnaeus,1707,Rashult,1778,Uppsala,Botany,Georges-Louis Buffon,Uppsala University,Systema Naturae,Swedish
Georges-Louis Buffon,1707,Montbard,1788,Paris,Natural History,Carl Linnaeus,Jardin du Roi,Histoire Naturelle,French
Leonhard Euler,1707,Basel,1783,Saint Petersburg,Mathematics,Joseph-Louis Lagrange,University of Basel,Introductio in Analysin,Swiss
Joseph-Louis Lagrange,1736,Turin,1813,Paris,Mathematics,Leonhard Euler,Prussian Academy,Mécanique Analytique,Italian-French
Pierre-Simon Laplace,1749,Beaumont-en-Auge,1827,Paris,Mathematics,Joseph-Louis Lagrange,French Academy of Sciences,Mécanique Céleste,French
Alessandro Volta,1745,Como,1827,Como,Physics,Luigi Galvani,University of Pavia,On the Electricity Excited by the Mere Contact,Italian
Luigi Galvani,1737,Bologna,1798,Bologna,Medicine,Alessandro Volta,University of Bologna,De viribus electricitatis,Italian
Georg Wilhelm Friedrich Hegel,1770,Stuttgart,1831,Berlin,Philosophy,Friedrich Schelling,University of Berlin,Phenomenology of Spirit,German
Friedrich Schelling,1775,Leonberg,1854,Bad Ragaz,Philosophy,Georg Wilhelm Friedrich Hegel,University of Munich,System des transzendentalen Idealismus,German
Immanuel Kant,1724,Königsberg,1804,Königsberg,Philosophy,Georg Wilhelm Friedrich Hegel,University of Königsberg,Critique of Pure Reason,German
Voltaire,1694,Paris,1778,Paris,Philosophy,Jean-Jacques Rousseau,None,Candide,French
Jean-Jacques Rousseau,1712,Geneva,1778,Ermenonville,Philosophy,Voltaire,None,The Social Contract,Swiss-French
Denis Diderot,1713,Langres,1784,Paris,Philosophy,Jean-Jacques Rousseau,None,Encyclopédie,French
Montesquieu,1689,La Brède,1755,Paris,Political Theory,Voltaire,Bordeaux Academy,Spirit of the Laws,French
David Hume,1711,Edinburgh,1776,Edinburgh,Philosophy,Adam Smith,University of Edinburgh,Treatise of Human Nature,Scottish
Adam Smith,1723,Kirkcaldy,1790,Edinburgh,Economics,David Hume,University of Glasgow,Wealth of Nations,Scottish
Edmund Burke,1729,Dublin,1797,Beaconsfield,Political Philosophy,Adam Smith,None,Reflections on the Revolution,Irish
Thomas Hobbes,1588,Westport,1679,Hardwick Hall,Philosophy,René Descartes,None,Leviathan,English
Baruch Spinoza,1632,Amsterdam,1677,The Hague,Philosophy,Gottfried Leibniz,None,Ethics,Dutch-Jewish
Blaise Pascal,1623,Clermont-Ferrand,1662,Paris,Mathematics,René Descartes,None,Pensées,French
Pierre de Fermat,1607,Beaumont-de-Lomagne,1665,Castres,Mathematics,Blaise Pascal,Parlement of Toulouse,Last Theorem,French
John Napier,1550,Merchiston Castle,1617,Edinburgh,Mathematics,Johannes Kepler,None,Mirifici Logarithmorum,Scottish
Simon Stevin,1548,Bruges,1620,The Hague,Mathematics,Galileo Galilei,States of Holland,Beghinselen der Weeghconst,Flemish
François Viète,1540,Fontenay-le-Comte,1603,Paris,Mathematics,René Descartes,None,In artem analyticem isagoge,French
William Gilbert,1544,Colchester,1603,London,Physics,Galileo Galilei,None,De Magnete,English
Jan Baptist van Helmont,1579,Brussels,1644,Vilvoorde,Chemistry,Robert Boyle,None,Ortus medicinae,Flemish
Robert Boyle,1627,Lismore,1691,London,Chemistry,Isaac Newton,None,The Sceptical Chymist,Irish
John Ray,1627,Black Notley,1705,Black Notley,Botany,Carl Linnaeus,None,Historia Plantarum,English
Marcello Malpighi,1628,Crevalcore,1694,Rome,Medicine,Robert Hooke,University of Bologna,De Pulmonibus,Italian
Jan Swammerdam,1637,Amsterdam,1680,Amsterdam,Biology,Antonie van Leeuwenhoek,University of Leiden,Biblia Naturae,Dutch
Antonie van Leeuwenhoek,1632,Delft,1723,Delft,Biology,Jan Swammerdam,None,Arcana Naturae,Dutch
Nicolas Steno,1638,Copenhagen,1686,Schwerin,Geology,Antonie van Leeuwenhoek,University of Copenhagen,De Solido,Danish
Edmund Halley,1656,Haggerston,1742,Greenwich,Astronomy,Isaac Newton,Royal Society,Astronomiae Cometicae Synopsis,English
John Flamsteed,1646,Denby,1719,Greenwich,Astronomy,Edmund Halley,Royal Observatory,Historia Coelestis Britannica,English
Giovanni Cassini,1625,Perinaldo,1712,Paris,Astronomy,Christiaan Huygens,French Academy of Sciences,Éléments de l'Astronomie,Italian-French
Ole Rømer,1644,Aarhus,1710,Copenhagen,Astronomy,Christiaan Huygens,University of Copenhagen,Speed of Light,Danish
